GE_City,GE_Count,GE_latitude,GE_longitude,GE_n,GE_State,
"Fujisawa, Japan",1,35.3401299,139.4935455,Fujisawa, Japan,
"Fujiyoshida, Japan",1,35.4856377,138.8053741,Fujiyoshida, Japan,
"Ichikawa, Japan",1,35.7195625,139.9333954,Ichikawa, Japan,
"Ichinoseki, Japan",1,38.9240646,141.1363678,Ichinoseki, Japan,
"Itabashi, Japan",1,35.7686501,139.6712494,ITABASHI, Japan,
"Iwamizawa, Japan",1,43.1982765,141.7635803,IWAMIZAWA, Japan,
"Kirishima, Japan",1,31.8199997,130.8300018,KIRISHIMA, Japan,
"Izumi, Japan",1,34.4785652,135.4254761,Izumi, Japan,
"Koto, Japan",1,35.6677094,139.8200989,Koto, Japan,
"Kumamoto, Japan",3,32.788517,130.7148895,KUMAMOTO, Japan,
"Kyoto, Japan",1,35.3231506,135.4155884,Kyoto, Japan,
"Matsumoto, Japan",1,36.2324486,137.9669647,Matsumoto, Japan,
"Matsuyama, Japan",1,33.8381042,132.7719116,Matsuyama, Japan,
"Minamiaizu-Gun, Japan",1,37.1857986,139.5160065,Minamiaizu-Gun, Japan,
"Nagoya, Japan",1,33.5063019,129.9112396,NAGOYA, Japan,
"Naruto, Japan",1,34.1818275,134.6033783,NARUTO, Japan,
"Nobeoka, Japan",1,32.5714455,131.6772156,NOBEOKA, Japan,
"Osaka, Japan",1,34.6775208,135.5129089,Osaka, Japan,
"Sabae, Japan",1,35.9500008,136.1925354,SABAE, Japan,
"Sapporo, Japan",1,43.0552521,141.3454742,Sapporo, Japan,
"Sakado, Japan",1,35.9569016,139.3890076,Sakado, Japan,
"Gonohe, Japan",1,40.5654182,141.2707672,Gonohe, Japan,
"Takamatsu, Japan",2,34.3355217,134.047699,TAKAMATSU, Japan,
"Takasaki, Japan",1,36.3262215,139.0143585,TAKASAKI, Japan,
"Togane, Japan",1,35.5499992,140.3670044,Togane, Japan,
"Tsu, Japan",1,34.7191086,136.5168304,Tsu, Japan,
"Yatsushiro, Japan",1,32.5068359,130.6065063,YATSUSHIRO, Japan,
"Luxembourg, Luxembourg",1,49.5998993,6.1177201,LUXEMBOURG, Luxembourg,
"Kathmandu, Nepal",1,27.6933002,85.3225021,KATHMANDU, Nepal,
"Al, Norway",1,60.737,8.4126,Al, Norway,
"Karachi, Pakistan",1,24.9267101,67.0343704,KARACHI, Pakistan,
"Zamboanga, Philippines",1,7.1034999,122.1957474,Zamboanga, Philippines,
"Lublin, Poland",1,51.2533989,22.5515995,LUBLIN, Poland,
"Warsaw, Poland",1,52.2287483,21.0062504,WARSAW, Poland,
"Lisbon, Portugal",1,38.7169991,-9.1386404,LISBON, Portugal,
"Santarem, Portugal",1,39.2193985,-8.6955099,SANTAREM, Portugal,
"Novokuznetsk, Russian Federation",1,53.7577209,87.1192398,NOVOKUZNETSK, Russian Federation,
"Vladivostok, Russian Federation",1,43.1157188,131.8857574,VLADIVOSTOK, Russian Federation,
"Riyadh, Saudi Arabia",1,24.6472893,46.7146797,RIYADH, Saudi Arabia,
"Assagay, South Africa",1,-29.7708874,30.7328396,ASSAGAY, South Africa,
"Gwangju, South Korea",1,35.1529388,126.9051514,GWANGJU, South Korea,
"Fuenlabrada, Spain",1,40.2888985,-3.7932,FUENLABRADA, Spain,
"Sant Cugat Del Valles, Spain",1,41.4729996,2.08234,SANT CUGAT DEL VALLES, Spain,
"Bangkok, Thailand",1,13.7533503,100.5048294,BANGKOK, Thailand,
"Ratburi, Thailand",1,13.5371103,99.8143997,Ratburi, Thailand,
"Samutprakarn, Thailand",3,13.5959339,100.7088013,Samutprakarn, Thailand,
"Ankara, Turkey",2,39.9429016,32.8605003,ANKARA, Turkey,
"Agri, Turkey",1,39.7208214,43.0506897,AGRI, Turkey,
"Tooting, United Kingdom",1,51.4302406,-0.1657,TOOTING, United Kingdom,
"Hanoi, Vietnam",3,21.0288906,105.8546371,Hanoi,,
"Ho Chi Min City, Vietnam",2,10.7782297,106.70327,Ho Chi Min City,,
